"","phase","year","plot","plot_num","plot_dir","rotation","corn","crop","variety","all_corn","yield_bush","yield_ton","treated","treatment","manure","lime","nit","p205","k20","stover","population","plant_date","plant_day","soil_sample","damage","notes"
"32",1,1889,"3SD",3,"SE",1,TRUE,"CC","Burr's White",FALSE,43.2,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-30",120,FALSE,NA,NA
"33",1,1889,"4NA",4,"NW",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"34",1,1889,"4NB",4,"NW",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"35",1,1889,"4NC",4,"NE",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"36",1,1889,"4ND",4,"NE",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"37",1,1889,"4SA",4,"SW",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"38",1,1889,"4SB",4,"SW",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"39",1,1889,"4SC",4,"SE",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"40",1,1889,"4SD",4,"SE",2,FALSE,"O","Welcome",FALSE,37.4,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-03-22",81,FALSE,NA,NA
"41",1,1889,"5NA",5,"NW",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"42",1,1889,"5NB",5,"NW",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"43",1,1889,"5NC",5,"NE",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"44",1,1889,"5ND",5,"NE",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"45",1,1889,"5SA",5,"SW",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"46",1,1889,"5SB",5,"SW",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"47",1,1889,"5SC",5,"SE",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"48",1,1889,"5SD",5,"SE",3,FALSE,"H","Medium clover",FALSE,NA,4.04,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1889-04-06",96,FALSE,NA,NA
"49",1,1890,"3NA",3,"NW",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"50",1,1890,"3NB",3,"NW",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"51",1,1890,"3NC",3,"NE",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"52",1,1890,"3ND",3,"NE",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"53",1,1890,"3SA",3,"SW",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"54",1,1890,"3SB",3,"SW",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"55",1,1890,"3SC",3,"SE",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"56",1,1890,"3SD",3,"SE",1,TRUE,"CC","Burr's White",FALSE,48.7,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"57",1,1890,"4NA",4,"NW",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"58",1,1890,"4NB",4,"NW",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"59",1,1890,"4NC",4,"NE",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"60",1,1890,"4ND",4,"NE",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"61",1,1890,"4SA",4,"SW",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
"62",1,1890,"4SB",4,"SW",2,TRUE,"C","Burr's White",FALSE,54.3,NA,FALSE,"none",NA,NA,NA,NA,NA,NA,NA,"1890-05-03",123,FALSE,NA,NA
